name,placeofBirth,dateofBirth,placeofDeath,dateofDeath,
George Washington,does not matter,1732,does not matter,1799,
John Adams,does not matter,1735,does not matter,1826,
Thomas Jefferson,does not matter,1743,does not matter,1826,
James Madison,does not matter,1751,does not matter,1836,
James Monroe,does not matter,1758,does not matter,1831,
John Q. Adams,does not matter,1767,does not matter,1848,
Andrew Jackson,does not matter,1767,does not matter,1845,
Martin van Buren,does not matter,1782,does not matter,1862,
William Harrison,does not matter,1773,does not matter,1841,
John Tyler,does not matter,1790,does not matter,1862,
James Polk,does not matter,1795,does not matter,1849,
Zachary Taylor,does not matter,1784,does not matter,1850,
Millard Fillmore,does not matter,1800,does not matter,1874,
Franklin Pierce,does not matter,1804,does not matter,1869,
James Buchanan,does not matter,1791,does not matter,1868,
Abraham Lincoln,does not matter,1809,does not matter,1865,
Andrew Johnson,does not matter,1808,does not matter,1875,
Ulysses Grant,does not matter,1822,does not matter,1885,
Rutherford Hayes,does not matter,1822,does not matter,1893,
James Garfield,does not matter,1831,does not matter,1881,
Chester Arthur,does not matter,1829,does not matter,1886,
Grover Cleveland,does not matter,1837,does not matter,1908,
Benjamin Harrison,does not matter,1833,does not matter,1901, 
William McKinley,does not matter,1843,does not matter,1901,
Theodore Roosevelt,does not matter,1858,does not matter,1919,
William Taft,does not matter,1857,does not matter,1930,
Woodrow Wilson,does not matter,1856,does not matter,1924,
Warren Harding,does not matter,1865,does not matter,1923,
Calvin Coolidge,does not matter,1872,does not matter,1933, 
Herbert Hoover,does not matter,1874,does not matter,1964,
Franklin Roosevelt,does not matter,1882,does not matter,1945,
Harry Truman,does not matter,1884,does not matter,1972,
Dwight Eisenhower,does not matter,1890,does not matter,1969,
John Kennedy,does not matter,1917,does not matter,1963,
Lyndon Johnson,does not matter,1908,does not matter,1973,
Richard Nixon,does not matter,1913,does not matter,1994,
Gerald Ford,does not matter,1913,does not matter,2006,
James Carter,does not matter,1924,does not matter,,
Ronald Reagan,does not matter,1911,does not matter,2004,
George Bush,does not matter,1924,does not matter,,
William Clinton,does not matter,1946,does not matter,,
George W. Bush,does not matter,1946,does not matter,,
Barack Obama,does not matter,1961,does not matter,,
